"Material","Month","Stock On Hand","Val.stk(I)","Consumption","Tot. usage"
"018932","01.2013","0.00","PC","0","PC"
"018932 ","02.2013","0.00","PC","0","PC"
"018932","03.2013","0.00","PC","0","PC"
"018932","04.2013","0.00","PC","0","PC"
"018932","05.2013","0.00","PC","0","PC"
"018932","06.2013","0.00","PC","0","PC"
"018932","07.2013","0.00","PC","0","PC"
"018932","08.2013","0.00","PC","0","PC"
"018932","09.2013","0.00","PC","0","PC"
"018932","10.2013","0.00","PC","0","PC"
"018932","11.2013","0.00","PC","0","PC"
"018932","12.2013","0.00","PC","0","PC"
"018932","01.2014","0.00","PC","0","PC"
"018932","02.2014","0.00","PC","0","PC"
"018932","03.2014","0.00","PC","0","PC"
"018932","04.2014","0.00","PC","0","PC"
"018932","05.2014","0.00","PC","0","PC"
"018932","06.2014","0.00","PC","0","PC"
"018932","07.2014","0.00","PC","0","PC"
"018932","08.2014","0.00","PC","0","PC"
"018932","09.2014","0.00","PC","0","PC"
"018932","10.2014","0.00","PC","0","PC"
"018932","11.2014","0.00","PC","0","PC"
"018932","12.2014","0.00","PC","0","PC"
"018932","01.2015","0.00","PC","0","PC"
"018932","02.2015","0.00","PC","0","PC"
"018932","03.2015","0.00","PC","0","PC"
"018932","04.2015","0.00","PC","0","PC"
"018932","05.2015","0.00","PC","0","PC"
"018932","06.2015","0.00","PC","0","PC"
"018932","07.2015","0.00","PC","0","PC"
"018932","08.2015","0.00","PC","0","PC"
"018932","09.2015","0.00","PC","0","PC"
"018932","10.2015","0.00","PC","0","PC"
"018932","11.2015","0.00","PC","0","PC"
"018932","12.2015","0.00","PC","0","PC"
"018932","01.2016","0.00","PC","0","PC"
"018932","02.2016","0.00","PC","0","PC"
"018932","03.2016","0.00","PC","0","PC"
"018932","04.2016","0.00","PC","0","PC"
"018932","05.2016","0.00","PC","0","PC"
"018932","06.2016","0.00","PC","0","PC"
"018932","07.2016","0.00","PC","0","PC"
"018932","08.2016","0.00","PC","0","PC"
"018932","09.2016","0.00","PC","0","PC"
"018932","10.2016","0.00","PC","0","PC"
"018932","11.2016","0.00","PC","0","PC"
"018932","12.2016","0.00","PC","0","PC"
"018932","01.2017","0.00","PC","0","PC"
"018932","02.2017","0.00","PC","0","PC"
"018932","03.2017","0.00","PC","0","PC"
"018932","04.2017","0.00","PC","0","PC"
"018932","05.2017","0.00","PC","0","PC"
"018932","06.2017","0.00","PC","0","PC"
"018932","07.2017","0.00","PC","0","PC"
"018932","08.2017","0.00","PC","0","PC"
"018932","09.2017","0.00","PC","0","PC"
"018932","10.2017","0.00","PC","0","PC"
"018932","11.2017","0.00","PC","0","PC"
"018932","12.2017","0.00","PC","0","PC"
"018932","01.2018","0.00","PC","0","PC"
"018932","02.2018","0.00","PC","0","PC"
"018932","03.2018","0.00","PC","0","PC"
"018932","04.2018","0.00","PC","0","PC"
"018932","05.2018","0.00","PC","0","PC"
"018932","06.2018","6.00","PC","0","PC"
"018932","07.2018","53.00","PC","0","PC"
"018932","08.2018","80.00","PC","0","PC"
"018932","09.2018","678.00","PC","366","PC"
"018932","10.2018","1,187.00","PC","568","PC"
"018932","11.2018","733.00","PC","593","PC"
"018932","12.2018","1,312.00","PC","693","PC"
"018932","01.2019","1,571.00","PC","949","PC"
"018932","02.2019","258.00","PC","173","PC"
"018932","03.2019","420.00","PC","403","PC"
"018932","04.2019","447.00","PC","426","PC"
"018932","05.2019","705.00","PC","576","PC"
"018932","06.2019","688.00","PC","566","PC"
"018932","07.2019","724.00","PC","651","PC"
"018932","08.2019","751.00","PC","655","PC"
"018932","09.2019","820.00","PC","599","PC"
"018932","10.2019","772.00","PC","570","PC"
"018932","11.2019","1,142.00","PC","708","PC"
"018932","12.2019","1,348.00","PC","911","PC"
"018932","01.2020","1,109.00","PC","659","PC"
"018932","02.2020","688.00","PC","212","PC"
"018932","03.2020","471.00","PC","361","PC"
"018932","04.2020","774.00","PC","498","PC"
"018932","05.2020","655.00","PC","586","PC"
"018932","06.2020","671.00","PC","556","PC"
"018932","07.2020","742.00","PC","634","PC"
"018932","08.2020","777.00","PC","620","PC"
"018932","09.2020","859.00","PC","683","PC"
"018932","10.2020","811.00","PC","687","PC"
"018932","11.2020","850.00","PC","750","PC"
"018932","12.2020","1,750.00","PC","1,023","PC"
"018932","01.2021","2,079.00","PC","1,147","PC"
"018932","02.2021","709.00","PC","548","PC"
"018932","03.2021","609.00","PC","586","PC"
"018932","04.2021","666.00","PC","638","PC"
"018932","05.2021","934.00","PC","725","PC"
"018932","06.2021","1,609.00","PC","810","PC"
"018932","07.2021","964.00","PC","854","PC"
"018932","08.2021","946.00","PC","764","PC"
"018932","09.2021","1,130.00","PC","762","PC"
"018932","10.2021","971.00","PC","799","PC"
"018932","11.2021","1,345.00","PC","899","PC"
"018932","12.2021","1,240.00","PC","796","PC"
"018932","01.2022","961.00","PC","727","PC"
"018932","02.2022","348.00","PC","312","PC"
"018932","03.2022","615.00","PC","297","PC"
"018932","04.2022","705.00","PC","655","PC"
"018932","05.2022","905.00","PC","706","PC"
"018932","06.2022","868.00","PC","709","PC"
"018932","07.2022","998.00","PC","687","PC"
"018932","08.2022","837.00","PC","686","PC"
"018932","09.2022","987.00","PC","732","PC"
"018932","10.2022","1,005.00","PC","708","PC"
"018932","11.2022","1,106.00","PC","812","PC"
"018932","12.2022","1,389.00","PC","947","PC"
"018932","01.2023","1,167.00","PC","711","PC"
"018932","02.2023","367.00","PC","314","PC"
"018932","03.2023","579.00","PC","533","PC"
"018932","04.2023","827.00","PC","577","PC"
"018932","05.2023","1,282.00","PC","711","PC"
"018932","06.2023","1,062.00","PC","707","PC"
"018932","07.2023","975.00","PC","729","PC"
"018932","08.2023","1,204.00","PC","752","PC"
"018932","09.2023","1,044.00","PC","792","PC"
"018932","10.2023","863.00","PC","701","PC"
"018932","11.2023","1,023.00","PC","748","PC"
"018932","12.2023","1,507.00","PC","755","PC"
"019329 ","01.2013","0.00","PC","0","PC"
"019329 ","02.2013","0.00","PC","0","PC"
"019329","03.2013","0.00","PC","0","PC"
"019329","04.2013","0.00","PC","0","PC"
"019329","05.2013","0.00","PC","0","PC"
"019329","06.2013","0.00","PC","0","PC"
"019329","07.2013","0.00","PC","0","PC"
"019329","08.2013","0.00","PC","0","PC"
"019329","09.2013","0.00","PC","0","PC"
"019329","10.2013","0.00","PC","0","PC"
"019329","11.2013","0.00","PC","0","PC"
"019329","12.2013","0.00","PC","0","PC"
"019329","01.2014","0.00","PC","0","PC"
"019329","02.2014","0.00","PC","0","PC"
"019329","03.2014","0.00","PC","0","PC"
"019329","04.2014","0.00","PC","0","PC"
"019329","05.2014","0.00","PC","0","PC"
"019329","06.2014","0.00","PC","0","PC"
"019329","07.2014","0.00","PC","0","PC"
"019329","08.2014","0.00","PC","0","PC"
"019329","09.2014","0.00","PC","0","PC"
"019329","10.2014","0.00","PC","0","PC"
"019329","11.2014","0.00","PC","0","PC"
"019329","12.2014","0.00","PC","0","PC"
"019329","01.2015","0.00","PC","0","PC"
"019329","02.2015","0.00","PC","0","PC"
"019329","03.2015","0.00","PC","0","PC"
"019329","04.2015","0.00","PC","0","PC"
"019329","05.2015","0.00","PC","0","PC"
"019329","06.2015","0.00","PC","0","PC"
"019329","07.2015","0.00","PC","0","PC"
"019329","08.2015","0.00","PC","0","PC"
"019329","09.2015","0.00","PC","0","PC"
"019329","10.2015","0.00","PC","0","PC"
"019329","11.2015","0.00","PC","0","PC"
"019329","12.2015","0.00","PC","0","PC"
"019329","01.2016","0.00","PC","0","PC"
"019329","02.2016","0.00","PC","0","PC"
"019329","03.2016","0.00","PC","0","PC"
"019329","04.2016","0.00","PC","0","PC"
"019329","05.2016","0.00","PC","0","PC"
"019329","06.2016","0.00","PC","0","PC"
"019329","07.2016","0.00","PC","0","PC"
"019329","08.2016","0.00","PC","0","PC"
"019329","09.2016","0.00","PC","0","PC"
