Material,Month,Total stck,Total stck_2_,Tot. usage,Tot. usage_2_
30336,1.2021,0,PC,0,PC
30336,2.2021,0,PC,0,PC
30336,3.2021,0,PC,0,PC
30336,4.2021,0,PC,0,PC
30336,5.2021,0,PC,0,PC
30336,6.2021,0,PC,0,PC
30336,7.2021,0,PC,0,PC
30336,8.2021,0,PC,0,PC
30336,9.2021,0,PC,0,PC
30336,10.2021,0,PC,0,PC
30336,11.2021,0,PC,0,PC
30336,12.2021,0,PC,0,PC
30336,1.2022,0,PC,0,PC
30336,2.2022,0,PC,0,PC
30336,3.2022,0,PC,0,PC
30336,4.2022,0,PC,0,PC
30336,5.2022,0,PC,0,PC
30336,6.2022,0,PC,0,PC
30336,7.2022,0,PC,0,PC
30336,8.2022,0,PC,0,PC
30336,9.2022,0,PC,0,PC
30336,10.2022,0,PC,0,PC
30336,11.2022,0,PC,0,PC
30336,12.2022,0,PC,0,PC
30336,1.2023,0,PC,0,PC
30336,2.2023,0,PC,0,PC
30336,3.2023,0,PC,0,PC
30336,4.2023,0,PC,0,PC
30336,5.2023,0,PC,0,PC
30336,6.2023,0,PC,0,PC
30336,7.2023,0,PC,0,PC
30336,8.2023,0,PC,0,PC
30336,9.2023,0,PC,0,PC
30336,10.2023,0,PC,0,PC
30344,1.2021,0,PC,0,PC
30344,2.2021,0,PC,0,PC
30344,3.2021,0,PC,0,PC
30344,4.2021,0,PC,0,PC
30344,5.2021,0,PC,0,PC
30344,6.2021,0,PC,0,PC
30344,7.2021,0,PC,0,PC
30344,8.2021,0,PC,0,PC
30344,9.2021,0,PC,0,PC
30344,10.2021,0,PC,0,PC
30344,11.2021,0,PC,0,PC
30344,12.2021,0,PC,0,PC
30344,1.2022,0,PC,0,PC
30344,2.2022,0,PC,0,PC
30344,3.2022,0,PC,0,PC
30344,4.2022,0,PC,0,PC
30344,5.2022,0,PC,0,PC
30344,6.2022,0,PC,0,PC
30344,7.2022,0,PC,0,PC
30344,8.2022,0,PC,0,PC
30344,9.2022,0,PC,0,PC
30344,10.2022,0,PC,0,PC
30344,11.2022,0,PC,0,PC
30344,12.2022,0,PC,0,PC
30344,1.2023,0,PC,0,PC
30344,2.2023,0,PC,0,PC
30344,3.2023,0,PC,0,PC
30344,4.2023,0,PC,0,PC
30344,5.2023,0,PC,0,PC
30344,6.2023,0,PC,0,PC
30344,7.2023,0,PC,0,PC
30344,8.2023,0,PC,0,PC
30344,9.2023,0,PC,0,PC
30344,10.2023,0,PC,0,PC
30369,1.2021,0,PC,0,PC
30369,2.2021,0,PC,0,PC
30369,3.2021,0,PC,0,PC
30369,4.2021,0,PC,0,PC
30369,5.2021,0,PC,0,PC
30369,6.2021,0,PC,0,PC
30369,7.2021,0,PC,0,PC
30369,8.2021,0,PC,0,PC
30369,9.2021,0,PC,0,PC
30369,10.2021,0,PC,0,PC
30369,11.2021,0,PC,0,PC
30369,12.2021,0,PC,0,PC
30369,1.2022,0,PC,0,PC
30369,2.2022,0,PC,0,PC
30369,3.2022,0,PC,0,PC
30369,4.2022,0,PC,0,PC
30369,5.2022,0,PC,0,PC
30369,6.2022,0,PC,0,PC
30369,7.2022,0,PC,0,PC
30369,8.2022,0,PC,0,PC
30369,9.2022,0,PC,0,PC
30369,10.2022,0,PC,0,PC
30369,11.2022,0,PC,0,PC
30369,12.2022,0,PC,0,PC
30369,1.2023,0,PC,0,PC
30369,2.2023,0,PC,0,PC
30369,3.2023,0,PC,0,PC
30369,4.2023,0,PC,0,PC
30369,5.2023,0,PC,0,PC
30369,6.2023,0,PC,0,PC
30369,7.2023,0,PC,0,PC
30369,8.2023,0,PC,0,PC
30369,9.2023,0,PC,0,PC
30369,10.2023,0,PC,0,PC
30377,1.2021,0,PC,0,PC
30377,2.2021,0,PC,0,PC
30377,3.2021,0,PC,0,PC
30377,4.2021,0,PC,0,PC
30377,5.2021,0,PC,0,PC
30377,6.2021,0,PC,0,PC
30377,7.2021,0,PC,0,PC
30377,8.2021,0,PC,0,PC
30377,9.2021,0,PC,0,PC
30377,10.2021,0,PC,0,PC
30377,11.2021,0,PC,0,PC
30377,12.2021,0,PC,0,PC
30377,1.2022,0,PC,0,PC
30377,2.2022,0,PC,0,PC
30377,3.2022,0,PC,0,PC
30377,4.2022,0,PC,0,PC
30377,5.2022,0,PC,0,PC
30377,6.2022,0,PC,0,PC
30377,7.2022,0,PC,0,PC
30377,8.2022,0,PC,0,PC
30377,9.2022,0,PC,0,PC
30377,10.2022,0,PC,0,PC
30377,11.2022,0,PC,0,PC
30377,12.2022,0,PC,0,PC
30377,1.2023,0,PC,0,PC
30377,2.2023,0,PC,0,PC
30377,3.2023,0,PC,0,PC
30377,4.2023,0,PC,0,PC
30377,5.2023,0,PC,0,PC
30377,6.2023,0,PC,0,PC
30377,7.2023,0,PC,0,PC
30377,8.2023,0,PC,0,PC
30377,9.2023,0,PC,0,PC
30377,10.2023,0,PC,0,PC
30425,1.2021,0,PC,0,PC
30425,2.2021,0,PC,0,PC
30425,3.2021,0,PC,0,PC
30425,4.2021,0,PC,0,PC
30425,5.2021,0,PC,0,PC
30425,6.2021,0,PC,0,PC
30425,7.2021,0,PC,0,PC
30425,8.2021,0,PC,0,PC
30425,9.2021,0,PC,0,PC
30425,10.2021,0,PC,0,PC
30425,11.2021,0,PC,0,PC
30425,12.2021,0,PC,0,PC
30425,1.2022,0,PC,0,PC
30425,2.2022,0,PC,0,PC
30425,3.2022,0,PC,0,PC
30425,4.2022,0,PC,0,PC
30425,5.2022,0,PC,0,PC
30425,6.2022,0,PC,0,PC
30425,7.2022,0,PC,0,PC
30425,8.2022,0,PC,0,PC
30425,9.2022,0,PC,0,PC
30425,10.2022,0,PC,0,PC
30425,11.2022,0,PC,0,PC
30425,12.2022,0,PC,0,PC
30425,1.2023,0,PC,0,PC
30425,2.2023,0,PC,0,PC
30425,3.2023,0,PC,0,PC
30425,4.2023,0,PC,0,PC
30425,5.2023,0,PC,0,PC
30425,6.2023,0,PC,0,PC
30425,7.2023,0,PC,0,PC
30425,8.2023,0,PC,0,PC
30425,9.2023,0,PC,0,PC
30425,10.2023,0,PC,0,PC
30725,1.2021,0,PC,0,PC
30725,2.2021,0,PC,0,PC
30725,3.2021,0,PC,0,PC
30725,4.2021,0,PC,0,PC
30725,5.2021,0,PC,0,PC
30725,6.2021,0,PC,0,PC
30725,7.2021,0,PC,0,PC
30725,8.2021,0,PC,0,PC
30725,9.2021,0,PC,0,PC
30725,10.2021,0,PC,0,PC
30725,11.2021,0,PC,0,PC
30725,12.2021,0,PC,0,PC
30725,1.2022,0,PC,0,PC
30725,2.2022,0,PC,0,PC
30725,3.2022,0,PC,0,PC
30725,4.2022,0,PC,0,PC
30725,5.2022,0,PC,0,PC
30725,6.2022,0,PC,0,PC
30725,7.2022,0,PC,0,PC
30725,8.2022,0,PC,0,PC
30725,9.2022,0,PC,0,PC
30725,10.2022,0,PC,0,PC
30725,11.2022,0,PC,0,PC
30725,12.2022,0,PC,0,PC
30725,1.2023,0,PC,0,PC
30725,2.2023,0,PC,0,PC
30725,3.2023,0,PC,0,PC
30725,4.2023,0,PC,0,PC
30725,5.2023,0,PC,0,PC
30725,6.2023,0,PC,0,PC
30725,7.2023,0,PC,0,PC
30725,8.2023,0,PC,0,PC
30725,9.2023,0,PC,0,PC
30725,10.2023,0,PC,0,PC
30871,1.2021,0,PC,0,PC
30871,2.2021,0,PC,0,PC
30871,3.2021,0,PC,0,PC
30871,4.2021,0,PC,0,PC
30871,5.2021,0,PC,0,PC
30871,6.2021,0,PC,0,PC
30871,7.2021,0,PC,0,PC
30871,8.2021,0,PC,0,PC
30871,9.2021,0,PC,0,PC
30871,10.2021,0,PC,0,PC
30871,11.2021,0,PC,0,PC
30871,12.2021,0,PC,0,PC
30871,1.2022,0,PC,0,PC
30871,2.2022,0,PC,0,PC
30871,3.2022,0,PC,0,PC
30871,4.2022,0,PC,0,PC
30871,5.2022,0,PC,0,PC
30871,6.2022,0,PC,0,PC
30871,7.2022,0,PC,0,PC
30871,8.2022,0,PC,0,PC
30871,9.2022,0,PC,0,PC
30871,10.2022,0,PC,0,PC
30871,11.2022,0,PC,0,PC
30871,12.2022,0,PC,0,PC
30871,1.2023,0,PC,0,PC
30871,2.2023,0,PC,0,PC
30871,3.2023,0,PC,0,PC
30871,4.2023,0,PC,0,PC
30871,5.2023,0,PC,0,PC
30871,6.2023,0,PC,0,PC
30871,7.2023,0,PC,0,PC
30871,8.2023,0,PC,0,PC
30871,9.2023,0,PC,0,PC
30871,10.2023,0,PC,0,PC
31032,1.2021,0,PC,0,PC
31032,2.2021,0,PC,0,PC
31032,3.2021,0,PC,0,PC
31032,4.2021,0,PC,0,PC
31032,5.2021,0,PC,0,PC
31032,6.2021,0,PC,0,PC
31032,7.2021,0,PC,0,PC
31032,8.2021,0,PC,0,PC
31032,9.2021,0,PC,0,PC
31032,10.2021,0,PC,0,PC
31032,11.2021,0,PC,0,PC
31032,12.2021,0,PC,0,PC
31032,1.2022,0,PC,0,PC
31032,2.2022,0,PC,0,PC
31032,3.2022,0,PC,0,PC
31032,4.2022,0,PC,0,PC
31032,5.2022,0,PC,0,PC
31032,6.2022,0,PC,0,PC
31032,7.2022,0,PC,0,PC
31032,8.2022,0,PC,0,PC
31032,9.2022,0,PC,0,PC
31032,10.2022,0,PC,0,PC
31032,11.2022,0,PC,0,PC
31032,12.2022,0,PC,0,PC
31032,1.2023,0,PC,0,PC
31032,2.2023,0,PC,0,PC
31032,3.2023,0,PC,0,PC
31032,4.2023,0,PC,0,PC
31032,5.2023,0,PC,0,PC
31032,6.2023,0,PC,0,PC
31032,7.2023,0,PC,0,PC
31032,8.2023,0,PC,0,PC
31032,9.2023,0,PC,0,PC
31032,10.2023,0,PC,0,PC
31105,1.2021,0,PC,0,PC
31105,2.2021,0,PC,0,PC
31105,3.2021,0,PC,0,PC
31105,4.2021,0,PC,0,PC
31105,5.2021,0,PC,0,PC
31105,6.2021,0,PC,0,PC
31105,7.2021,0,PC,0,PC
31105,8.2021,0,PC,0,PC
31105,9.2021,0,PC,0,PC
31105,10.2021,0,PC,0,PC
31105,11.2021,0,PC,0,PC
31105,12.2021,0,PC,0,PC
31105,1.2022,0,PC,0,PC
31105,2.2022,0,PC,0,PC
31105,3.2022,0,PC,0,PC
31105,4.2022,0,PC,0,PC
31105,5.2022,0,PC,0,PC
31105,6.2022,0,PC,0,PC
31105,7.2022,0,PC,0,PC
31105,8.2022,0,PC,0,PC
31105,9.2022,0,PC,0,PC
31105,10.2022,0,PC,0,PC
31105,11.2022,0,PC,0,PC
31105,12.2022,0,PC,0,PC
31105,1.2023,0,PC,0,PC
31105,2.2023,0,PC,0,PC
31105,3.2023,0,PC,0,PC
31105,4.2023,0,PC,0,PC
31105,5.2023,0,PC,0,PC
31105,6.2023,0,PC,0,PC
31105,7.2023,0,PC,0,PC
31105,8.2023,0,PC,0,PC
31105,9.2023,0,PC,0,PC
31105,10.2023,0,PC,0,PC
31179,1.2021,0,PC,0,PC
31179,2.2021,0,PC,0,PC
31179,3.2021,0,PC,0,PC
31179,4.2021,0,PC,0,PC
31179,5.2021,0,PC,0,PC
31179,6.2021,0,PC,0,PC
31179,7.2021,0,PC,0,PC
31179,8.2021,0,PC,0,PC
31179,9.2021,0,PC,0,PC
31179,10.2021,0,PC,0,PC
31179,11.2021,0,PC,0,PC
31179,12.2021,0,PC,0,PC
31179,1.2022,0,PC,0,PC
31179,2.2022,0,PC,0,PC
31179,3.2022,0,PC,0,PC
31179,4.2022,0,PC,0,PC
31179,5.2022,0,PC,0,PC
31179,6.2022,0,PC,0,PC
31179,7.2022,0,PC,0,PC
31179,8.2022,0,PC,0,PC
31179,9.2022,0,PC,0,PC
31179,10.2022,0,PC,0,PC
31179,11.2022,0,PC,0,PC
31179,12.2022,0,PC,0,PC
31179,1.2023,0,PC,0,PC
31179,2.2023,0,PC,0,PC
31179,3.2023,0,PC,0,PC
31179,4.2023,0,PC,0,PC
31179,5.2023,0,PC,0,PC
31179,6.2023,0,PC,0,PC
31179,7.2023,0,PC,0,PC
31179,8.2023,0,PC,0,PC
31179,9.2023,0,PC,0,PC
31179,10.2023,0,PC,0,PC
31187,1.2021,0,PC,0,PC
31187,2.2021,0,PC,0,PC
31187,3.2021,0,PC,0,PC
31187,4.2021,0,PC,0,PC
31187,5.2021,0,PC,0,PC
31187,6.2021,0,PC,0,PC
31187,7.2021,0,PC,0,PC
31187,8.2021,0,PC,0,PC
31187,9.2021,0,PC,0,PC
31187,10.2021,0,PC,0,PC
31187,11.2021,0,PC,0,PC
31187,12.2021,0,PC,0,PC
31187,1.2022,0,PC,0,PC
31187,2.2022,0,PC,0,PC
31187,3.2022,0,PC,0,PC
31187,4.2022,0,PC,0,PC
31187,5.2022,0,PC,0,PC
31187,6.2022,0,PC,0,PC
31187,7.2022,0,PC,0,PC
31187,8.2022,0,PC,0,PC
31187,9.2022,0,PC,0,PC
31187,10.2022,0,PC,0,PC
31187,11.2022,0,PC,0,PC
31187,12.2022,0,PC,0,PC
31187,1.2023,0,PC,0,PC
31187,2.2023,0,PC,0,PC
31187,3.2023,0,PC,0,PC
31187,4.2023,0,PC,0,PC
31187,5.2023,0,PC,0,PC
31187,6.2023,0,PC,0,PC
31187,7.2023,0,PC,0,PC
31187,8.2023,0,PC,0,PC
31187,9.2023,0,PC,0,PC
31187,10.2023,0,PC,0,PC
31195,1.2021,0,PC,0,PC
31195,2.2021,0,PC,0,PC
31195,3.2021,0,PC,0,PC
31195,4.2021,0,PC,0,PC
31195,5.2021,0,PC,0,PC
31195,6.2021,0,PC,0,PC
31195,7.2021,0,PC,0,PC
31195,8.2021,0,PC,0,PC
31195,9.2021,0,PC,0,PC
31195,10.2021,0,PC,0,PC
31195,11.2021,0,PC,0,PC
31195,12.2021,0,PC,0,PC
31195,1.2022,0,PC,0,PC
31195,2.2022,0,PC,0,PC
31195,3.2022,0,PC,0,PC
31195,4.2022,0,PC,0,PC
31195,5.2022,0,PC,0,PC
31195,6.2022,0,PC,0,PC
31195,7.2022,0,PC,0,PC
31195,8.2022,0,PC,0,PC
31195,9.2022,0,PC,0,PC
31195,10.2022,0,PC,0,PC
31195,11.2022,0,PC,0,PC
31195,12.2022,0,PC,0,PC
31195,1.2023,0,PC,0,PC
31195,2.2023,0,PC,0,PC
31195,3.2023,0,PC,0,PC
31195,4.2023,0,PC,0,PC
31195,5.2023,0,PC,0,PC
31195,6.2023,0,PC,0,PC
31195,7.2023,0,PC,0,PC
31195,8.2023,0,PC,0,PC
31195,9.2023,0,PC,0,PC
31195,10.2023,0,PC,0,PC
31268,1.2021,0,PC,0,PC
31268,2.2021,0,PC,0,PC
31268,3.2021,0,PC,0,PC
31268,4.2021,0,PC,0,PC
31268,5.2021,0,PC,0,PC
31268,6.2021,0,PC,0,PC
31268,7.2021,0,PC,0,PC
31268,8.2021,0,PC,0,PC
31268,9.2021,0,PC,0,PC
31268,10.2021,0,PC,0,PC
31268,11.2021,0,PC,0,PC
31268,12.2021,0,PC,0,PC
31268,1.2022,0,PC,0,PC
31268,2.2022,0,PC,0,PC
31268,3.2022,0,PC,0,PC
31268,4.2022,0,PC,0,PC
31268,5.2022,0,PC,0,PC
31268,6.2022,0,PC,0,PC
31268,7.2022,0,PC,0,PC
31268,8.2022,0,PC,0,PC
31268,9.2022,0,PC,0,PC
31268,10.2022,0,PC,0,PC
31268,11.2022,0,PC,0,PC
31268,12.2022,0,PC,0,PC
31268,1.2023,0,PC,0,PC
31268,2.2023,0,PC,0,PC
31268,3.2023,0,PC,0,PC
31268,4.2023,0,PC,0,PC
31268,5.2023,0,PC,0,PC
31268,6.2023,0,PC,0,PC
31268,7.2023,0,PC,0,PC
31268,8.2023,0,PC,0,PC
31268,9.2023,0,PC,0,PC
31268,10.2023,0,PC,0,PC
31357,1.2021,0,PC,0,PC
31357,2.2021,0,PC,0,PC
31357,3.2021,0,PC,0,PC
31357,4.2021,0,PC,0,PC
31357,5.2021,0,PC,0,PC
31357,6.2021,0,PC,0,PC
31357,7.2021,0,PC,0,PC
31357,8.2021,0,PC,0,PC
31357,9.2021,0,PC,0,PC
31357,10.2021,0,PC,0,PC
